cgpa,iq,communication_skill,internships,projects,coding_skill,attendance,aptitude_score,logical_reasoning,placement
5.18,93.0,4,1,1,9,75.1,59.6,54.4,1
6.46,106.0,10,1,2,5,77.5,51.1,44.6,1
8.03,88.0,10,2,1,8,83.9,61.6,81.5,1
7.26,97.0,6,1,2,10,80.1,57.1,54.9,1
5.51,108.0,1,1,2,1,60.1,66.3,49.3,0
7.21,85.0,4,0,3,9,78.5,80.1,50.9,1
7.46,110.0,7,0,3,8,99.1,66.1,72.0,1
5.94,104.0,1,1,2,6,82.3,67.4,68.6,0
7.18,111.0,8,1,3,3,94.7,49.1,52.5,1
7.07,107.0,10,2,1,3,87.5,,60.5,1
5.63,121.0,6,0,1,8,91.3,58.7,64.2,0
7.43,106.0,5,0,1,5,78.7,75.2,49.4,1
7.67,99.0,10,2,2,10,81.3,53.5,36.9,1
8.3,106.0,9,0,1,7,78.1,52.1,67.7,1
8.26,111.0,2,1,2,5,75.1,69.8,50.3,1
5.35,105.0,5,2,2,8,83.9,94.7,66.6,1
5.87,105.0,6,0,3,10,68.7,62.4,64.8,0
7.62,,7,0,0,10,97.6,67.5,60.8,0
7.62,97.0,5,1,3,4,63.9,79.2,53.6,0
7.62,88.0,9,1,3,2,84.7,72.6,50.5,1
10.0,125.0,1,1,3,3,91.5,72.7,42.9,1
7.69,90.0,7,2,4,8,72.9,63.6,50.8,1
8.36,96.0,10,0,0,7,61.6,63.9,68.5,1
8.14,96.0,7,1,1,2,88.9,53.7,81.0,1
7.78,115.0,4,1,4,6,77.4,72.3,78.8,1
6.62,101.0,9,0,2,9,84.8,72.0,62.2,0
7.91,119.0,5,1,3,4,73.7,75.8,81.0,1
6.07,96.0,4,1,3,9,,57.7,55.4,0
6.72,108.0,7,1,3,2,49.6,77.5,40.6,0
6.42,94.0,4,0,4,2,79.5,82.0,88.8,1
7.1,130.0,3,1,6,9,91.1,46.8,68.0,1
9.78,90.0,9,1,3,7,76.3,60.5,37.0,1
4.76,108.0,8,2,2,7,78.6,82.6,83.4,1
7.82,112.0,1,0,4,1,69.8,55.3,48.8,0
5.06,109.0,7,1,1,6,,72.9,52.1,0
6.43,102.0,9,1,1,7,54.9,65.1,75.3,1
8.31,103.0,8,2,4,6,66.4,70.0,80.4,1
7.08,105.0,8,1,2,6,65.6,65.6,45.0,0
5.71,103.0,6,2,1,2,83.0,76.2,82.1,0
6.14,116.0,4,2,1,6,68.1,49.7,73.1,0
7.82,131.0,8,2,4,4,68.5,51.3,48.0,1
6.12,98.0,3,1,2,9,70.5,87.0,56.3,1
7.26,88.0,9,1,3,1,66.0,96.5,82.7,1
7.05,103.0,2,2,2,8,78.2,64.9,36.6,1
6.22,135.0,2,3,3,5,79.5,90.7,80.7,1
9.57,95.0,7,2,3,1,84.9,53.4,72.7,1
7.76,124.0,10,1,2,4,82.8,57.0,67.6,1
4.57,125.0,4,0,2,1,81.6,86.9,62.0,0
7.22,98.0,10,1,1,6,71.1,77.1,89.6,1
6.21,111.0,8,2,5,2,70.3,89.1,91.8,1
8.02,124.0,9,1,3,5,64.5,72.0,50.8,1
6.05,100.0,7,1,4,7,64.3,49.8,69.2,0
6.86,102.0,5,2,2,2,77.3,68.4,88.1,0
7.61,98.0,8,1,3,6,66.4,83.0,48.2,1
8.04,92.0,4,2,3,6,92.6,63.0,63.6,1
5.56,97.0,2,1,3,5,74.5,60.7,75.1,1
6.6,90.0,6,1,5,5,93.0,72.3,30.0,1
6.43,105.0,9,1,2,3,81.9,56.6,72.4,1
6.22,95.0,1,2,1,10,65.7,69.4,43.7,0
9.12,107.0,10,0,3,10,74.3,66.0,62.9,1
7.49,86.0,7,0,3,2,54.9,57.6,77.2,1
5.49,108.0,10,3,3,7,77.3,79.7,30.0,1
8.1,115.0,9,0,1,1,66.8,74.7,71.8,1
9.55,81.0,10,1,2,6,61.6,59.7,90.6,1
8.24,109.0,9,1,2,6,93.3,64.8,52.0,1
5.18,119.0,10,1,2,3,87.4,60.9,68.7,0
6.42,,3,1,3,2,87.0,55.4,80.0,0
8.52,125.0,5,0,3,2,84.4,39.5,36.1,1
6.15,110.0,8,1,1,9,60.2,57.7,71.4,1
7.53,96.0,8,1,2,5,70.2,55.6,75.4,1
7.93,104.0,4,2,2,7,70.9,66.7,69.6,1
5.89,111.0,1,0,1,5,54.5,71.6,61.3,0
6.93,105.0,1,1,3,7,68.3,53.0,45.0,1
4.0,111.0,4,0,4,4,68.4,70.6,80.9,0
5.77,93.0,6,1,2,8,76.5,50.7,60.5,0
6.7,107.0,8,0,3,10,100.0,63.1,46.4,1
5.5,88.0,6,0,4,10,74.7,56.0,55.2,0
8.96,103.0,9,2,4,7,76.5,76.2,65.5,1
5.28,94.0,9,1,1,10,72.0,66.8,36.6,1
6.47,96.0,2,3,4,5,83.9,63.3,60.3,1
7.16,119.0,10,3,2,6,62.1,55.6,53.7,1
8.73,118.0,1,1,2,5,97.8,60.1,80.0,1
5.28,112.0,2,0,1,7,73.5,92.4,31.9,1
8.4,91.0,5,1,2,2,70.3,57.5,74.1,0
7.01,101.0,4,2,1,5,86.6,72.2,81.3,1
5.82,119.0,4,1,2,10,64.3,,32.4,1
7.55,106.0,9,0,2,3,83.6,71.8,34.2,1
7.24,132.0,8,1,3,9,91.9,77.6,86.8,1
6.28,109.0,6,2,4,6,72.1,59.7,46.4,0
7.08,107.0,1,2,2,10,99.6,75.6,100.0,1
6.54,101.0,2,0,4,3,82.7,100.0,32.9,0
7.14,106.0,6,2,4,7,82.9,73.5,62.6,1
7.79,103.0,2,0,3,4,91.4,89.2,59.6,0
8.9,113.0,10,0,1,3,94.6,72.2,56.9,1
,116.0,5,2,3,8,78.1,51.0,66.9,1
9.56,95.0,5,1,4,4,84.6,69.1,67.8,1
4.66,89.0,6,1,3,1,91.8,60.0,57.5,0
6.82,82.0,6,0,2,6,61.1,56.1,44.8,1
7.71,111.0,6,2,2,10,54.2,63.9,75.7,1
7.34,91.0,2,2,3,1,74.3,62.7,69.4,0
6.25,80.0,10,1,2,5,54.0,49.1,61.7,0
6.75,109.0,3,2,1,7,71.2,100.0,68.9,1
6.41,134.0,6,0,2,6,78.8,77.1,71.5,0
6.29,104.0,8,1,3,2,71.7,,48.6,1
8.02,115.0,1,1,4,4,73.3,66.3,68.4,0
7.43,105.0,1,0,1,2,63.0,83.0,51.7,0
6.17,103.0,2,1,4,1,84.5,96.1,72.0,0
8.08,116.0,6,3,2,3,62.2,75.3,57.1,1
7.37,101.0,9,0,3,3,49.8,66.8,69.2,1
7.98,108.0,4,1,3,7,72.5,87.1,53.5,1
7.76,108.0,3,0,3,1,86.0,67.1,70.0,0
6.01,96.0,8,0,4,9,76.0,71.5,45.3,1
6.33,116.0,10,2,2,6,61.0,80.0,60.5,1
7.9,102.0,9,1,4,4,76.2,59.2,74.7,1
7.73,95.0,5,1,1,3,80.3,33.9,67.0,0
6.97,111.0,9,2,3,3,76.1,58.5,62.9,1
7.14,94.0,2,0,3,2,71.8,76.6,87.1,0
8.53,105.0,3,1,3,2,80.8,75.5,75.4,0
6.29,104.0,7,1,2,10,54.1,85.1,72.8,1
7.66,118.0,7,1,4,5,64.3,59.0,69.9,1
6.76,110.0,6,4,1,9,59.3,88.7,71.7,1
6.74,104.0,6,2,1,2,91.2,67.8,84.9,0
8.32,114.0,2,1,3,2,83.5,74.1,53.7,1
7.99,121.0,10,2,2,6,77.2,78.6,75.1,1
7.98,111.0,6,0,4,10,57.6,44.3,65.3,1
8.57,105.0,4,0,2,2,83.9,49.9,54.3,0
7.03,89.0,3,0,1,4,91.6,49.4,58.5,0
7.82,92.0,2,1,4,6,81.9,81.1,63.3,1
6.63,101.0,1,1,3,5,74.6,60.4,47.1,1
7.39,97.0,5,1,1,1,82.6,95.4,73.0,0
6.84,102.0,2,2,3,6,78.3,65.1,58.5,0
7.12,105.0,2,1,2,1,86.1,42.9,61.3,0
7.71,,7,1,3,3,85.8,54.9,80.4,1
6.02,104.0,8,0,2,10,72.3,66.8,61.9,1
9.51,110.0,10,0,4,5,67.1,72.7,83.3,1
5.79,105.0,8,1,4,10,70.2,50.2,52.1,0
5.54,81.0,4,1,3,5,81.4,73.5,43.5,0
8.39,93.0,1,2,1,10,70.9,77.5,55.7,1
7.95,103.0,7,0,4,6,66.0,55.4,30.0,0
7.75,90.0,1,0,3,10,75.0,94.5,73.6,1
7.75,112.0,4,1,3,8,88.3,57.0,44.4,1
6.99,123.0,8,0,2,5,76.6,50.0,50.7,1
5.92,119.0,2,0,4,1,71.7,42.1,70.7,0
7.09,102.0,6,2,3,5,78.8,83.3,61.8,1
6.19,122.0,6,0,1,3,76.0,65.3,53.4,1
8.17,106.0,9,1,2,4,51.8,57.8,30.0,1
6.82,100.0,5,1,4,8,83.4,42.9,79.5,1
6.01,97.0,10,0,1,7,79.9,59.2,70.8,1
6.61,101.0,4,1,5,5,75.2,100.0,90.8,0
7.5,100.0,5,2,3,2,87.7,32.8,51.1,1
6.32,107.0,10,1,3,6,89.6,55.5,38.2,0
6.01,106.0,5,2,2,6,84.6,91.9,74.9,1
7.29,105.0,8,0,2,10,64.8,83.7,57.2,1
7.29,110.0,10,2,4,10,65.2,56.4,69.4,1
6.39,119.0,8,0,2,6,88.4,68.1,84.3,0
6.43,116.0,2,2,3,9,52.5,71.9,65.8,1
7.28,87.0,7,1,2,8,73.2,67.0,62.5,0
5.26,80.0,8,3,1,8,80.3,91.8,63.5,0
5.31,116.0,6,1,0,1,54.0,70.1,35.4,0
6.14,88.0,5,0,2,5,77.8,82.0,76.6,0
6.74,102.0,9,0,5,7,86.5,67.7,77.6,1
7.37,90.0,3,2,2,6,57.2,34.5,68.0,1
8.77,83.0,10,1,2,5,94.9,47.1,37.3,1
8.03,111.0,4,2,2,8,62.9,50.2,58.2,1
6.81,114.0,9,0,2,3,81.9,61.3,81.6,1
6.98,98.0,6,1,2,6,74.0,96.2,51.5,0
5.8,80.0,8,0,4,5,75.8,70.4,77.8,0
6.98,98.0,7,3,2,8,59.6,63.4,60.8,0
6.65,109.0,2,2,2,4,90.1,83.6,70.7,1
7.39,87.0,3,3,1,8,78.9,43.2,53.8,1
6.01,107.0,1,1,5,10,94.5,57.7,61.3,0
7.62,104.0,9,1,2,2,59.9,55.4,66.6,0
8.84,111.0,7,2,1,9,72.8,71.0,43.8,1
6.87,106.0,1,1,3,9,77.5,78.4,64.1,1
7.48,93.0,3,2,3,10,75.7,72.1,30.0,1
7.83,119.0,4,3,2,10,83.0,72.3,51.0,1
6.52,103.0,4,2,2,6,72.7,59.6,68.2,0
7.27,104.0,5,2,3,4,100.0,69.8,76.8,1
7.02,93.0,3,1,1,4,75.5,52.4,67.1,0
7.12,99.0,3,1,3,6,40.4,75.1,39.1,0
6.07,94.0,1,3,3,5,76.0,57.5,75.5,1
7.03,102.0,7,0,2,6,90.1,48.2,42.9,1
7.6,125.0,10,2,2,7,63.9,65.6,69.2,1
8.74,88.0,1,2,2,7,63.2,36.3,43.4,0
8.15,85.0,2,1,3,9,64.9,87.1,48.4,1
9.58,122.0,4,3,2,8,62.1,77.0,45.7,1
6.08,102.0,4,1,2,6,69.2,,62.1,0
8.05,96.0,5,1,3,6,85.9,40.6,57.1,0
7.22,117.0,2,0,5,5,93.3,54.5,67.6,1
9.63,97.0,4,1,2,1,45.9,65.6,59.7,0
6.03,126.0,1,1,4,9,70.5,61.1,37.2,0
5.99,113.0,2,1,2,9,78.6,39.7,64.1,1
6.28,99.0,1,2,1,9,77.4,45.3,33.6,0
4.45,130.0,10,3,1,8,97.8,60.8,46.7,1
6.37,97.0,10,0,2,10,50.9,,54.5,0
6.09,113.0,4,1,1,3,43.9,85.6,53.5,0
7.18,108.0,4,3,0,1,99.7,72.4,35.3,0
7.41,120.0,7,0,4,8,84.0,52.9,80.6,1
9.25,123.0,10,0,4,7,68.1,82.5,84.7,1
8.14,105.0,9,0,3,5,77.1,79.5,93.8,1
6.31,95.0,9,1,1,10,77.9,69.3,77.2,1
5.92,110.0,5,0,1,7,67.9,64.4,54.1,0
7.59,96.0,10,3,1,10,76.7,60.5,53.8,0
5.42,129.0,1,1,3,4,79.3,56.9,53.0,1
9.2,106.0,1,1,4,9,99.2,44.9,89.8,1
8.42,100.0,6,1,2,10,86.6,87.9,58.3,1
6.44,107.0,2,1,1,2,95.9,57.2,79.0,0
4.94,88.0,8,2,2,9,58.9,65.4,77.9,1
8.62,93.0,9,2,2,9,70.8,51.3,62.8,1
6.86,119.0,4,2,2,5,77.9,61.1,38.2,1
8.49,97.0,5,1,3,1,51.9,100.0,58.6,0
5.09,92.0,8,2,3,7,89.2,54.1,62.2,0
6.28,111.0,3,2,1,10,82.7,86.7,79.2,1
7.01,119.0,5,2,0,10,70.6,64.6,60.3,1
7.06,113.0,3,0,5,4,72.8,75.2,41.9,0
6.46,116.0,10,0,1,9,90.0,83.7,74.8,1
7.75,95.0,3,0,1,6,65.5,69.1,56.6,1
5.72,87.0,3,2,1,3,90.5,59.7,30.0,0
6.83,123.0,7,1,0,6,72.0,62.2,64.9,0
7.14,101.0,7,1,2,10,84.1,62.7,67.5,1
7.62,101.0,7,2,3,6,76.0,93.0,47.4,1
7.85,120.0,10,2,2,5,100.0,42.7,57.1,1
5.65,111.0,8,2,2,2,64.4,38.4,69.9,1
5.16,110.0,5,1,3,10,68.1,39.4,65.0,1
8.53,130.0,5,2,2,10,56.9,,36.6,1
7.4,97.0,4,1,4,2,61.8,75.5,78.8,0
6.1,116.0,7,0,4,7,83.6,76.4,85.6,1
8.86,105.0,10,0,0,2,94.2,55.9,52.3,1
7.14,108.0,4,1,3,6,84.9,64.6,31.4,1
8.42,123.0,2,1,2,5,74.9,48.3,71.6,1
7.08,111.0,4,2,5,4,64.3,49.6,49.9,0
9.47,111.0,8,0,2,7,85.8,73.7,68.0,1
9.11,117.0,9,2,5,8,63.6,80.7,93.0,1
6.7,100.0,3,1,3,4,58.8,57.8,36.8,0
8.17,94.0,7,1,2,1,71.3,89.5,48.1,0
7.77,92.0,9,1,2,1,50.6,79.5,57.1,1
8.64,81.0,4,1,5,1,58.4,88.9,79.4,1
5.84,129.0,10,1,4,1,97.6,60.5,100.0,1
7.82,91.0,3,1,1,5,56.2,87.8,63.7,1
8.27,102.0,5,0,3,4,60.7,97.7,35.5,1
4.89,101.0,1,0,2,9,75.9,58.8,54.8,0
5.58,108.0,3,1,0,3,76.5,62.7,48.4,0
4.55,114.0,8,2,2,7,72.2,50.8,70.8,0
6.68,115.0,8,1,2,8,51.0,47.8,65.7,0
7.86,98.0,4,2,3,6,85.2,48.0,44.4,1
8.8,102.0,2,2,2,10,69.7,52.8,47.5,1
7.09,108.0,8,3,4,1,,69.1,54.6,0
8.95,102.0,8,2,0,8,67.3,53.5,56.4,1
5.34,124.0,10,1,2,10,86.8,68.7,59.4,1
4.96,110.0,4,2,2,3,90.6,69.0,60.7,0
6.93,113.0,3,2,2,8,69.4,57.9,78.5,1
7.46,112.0,2,1,1,4,85.6,64.1,54.1,0
6.96,119.0,9,1,1,8,59.1,57.1,51.8,1
4.52,107.0,1,0,3,1,78.2,60.3,39.9,0
6.89,89.0,7,2,2,3,89.7,52.9,56.6,1
5.43,109.0,5,2,2,6,81.2,66.3,63.8,1
7.8,97.0,8,0,2,9,100.0,56.0,34.1,1
7.44,98.0,4,1,4,2,81.9,47.5,54.9,0
5.87,112.0,7,1,4,1,70.6,73.9,77.4,0
6.38,119.0,5,0,2,10,100.0,74.4,69.7,1
5.73,105.0,5,3,2,3,94.6,81.7,65.6,1
6.92,108.0,9,0,1,4,55.8,49.6,69.3,1
8.15,125.0,9,0,4,5,65.6,57.8,51.4,1
5.82,107.0,9,1,1,3,62.5,68.5,49.4,0
7.6,136.0,6,2,2,10,82.7,57.5,79.1,1
6.36,111.0,6,0,2,2,81.9,73.6,72.4,0
6.05,83.0,5,2,2,2,81.8,72.5,48.8,0
6.87,114.0,9,1,1,7,55.4,72.2,31.8,0
5.76,109.0,10,0,3,9,67.3,86.9,49.1,0
6.34,120.0,8,0,1,10,73.2,74.7,68.2,1
5.56,113.0,7,1,3,2,,67.3,50.1,1
9.36,103.0,7,1,1,7,64.5,62.1,65.0,1
7.04,90.0,6,3,1,7,91.3,63.1,81.3,1
6.16,102.0,5,2,4,7,56.4,49.0,58.6,1
7.26,94.0,4,3,1,3,92.5,38.5,63.5,0
6.87,98.0,3,1,4,7,88.1,72.0,70.3,0
6.73,112.0,3,3,3,1,71.5,83.4,43.8,1
7.74,125.0,6,1,1,10,67.2,60.0,48.4,1
